Country,Time,Balance,Product,Value,Unit,Month,Year
Colombia,2022-10-01,Net Electricity Production,No Renovable,223.9899,GWh,10,2022
Colombia,2022-10-01,Net Electricity Production,No Renovable,906.6809,GWh,10,2022
Colombia,2022-10-01,Net Electricity Production,Renovable,189.386,GWh,10,2022
Colombia,2022-10-01,Net Electricity Production,Renovable,58.8239,GWh,10,2022
Colombia,2022-10-01,Net Electricity Production,Renovable,2.3254,GWh,10,2022
Colombia,2022-09-01,Net Electricity Production,Renovable,5142.3708,GWh,9,2022
Colombia,2022-09-01,Net Electricity Production,No Renovable,281.4839,GWh,9,2022
Colombia,2022-09-01,Net Electricity Production,No Renovable,226.4946,GWh,9,2022
Colombia,2022-09-01,Net Electricity Production,No Renovable,1016.5693,GWh,9,2022
Colombia,2022-09-01,Net Electricity Production,Renovable,189.4004,GWh,9,2022
Colombia,2022-09-01,Net Electricity Production,Renovable,54.3858,GWh,9,2022
Colombia,2022-09-01,Net Electricity Production,Renovable,2.0778,GWh,9,2022
Colombia,2022-08-01,Net Electricity Production,Renovable,5325.9442,GWh,8,2022
Colombia,2022-08-01,Net Electricity Production,No Renovable,205.4834,GWh,8,2022
Colombia,2022-08-01,Net Electricity Production,No Renovable,224.6818,GWh,8,2022
Colombia,2022-08-01,Net Electricity Production,No Renovable,1066.6291,GWh,8,2022
Colombia,2022-08-01,Net Electricity Production,Renovable,189.4234,GWh,8,2022
Colombia,2022-08-01,Net Electricity Production,Renovable,49.23,GWh,8,2022
Colombia,2022-08-01,Net Electricity Production,Renovable,6.405,GWh,8,2022
Colombia,2022-07-01,Net Electricity Production,Renovable,5187.1428,GWh,7,2022
Colombia,2022-07-01,Net Electricity Production,No Renovable,203.1518,GWh,7,2022
Colombia,2022-07-01,Net Electricity Production,No Renovable,231.1412,GWh,7,2022
Colombia,2022-07-01,Net Electricity Production,No Renovable,1168.8562,GWh,7,2022
Colombia,2022-07-01,Net Electricity Production,Renovable,189.3259,GWh,7,2022
Colombia,2022-07-01,Net Electricity Production,Renovable,38.0352,GWh,7,2022
Colombia,2022-07-01,Net Electricity Production,Renovable,8.9119,GWh,7,2022
Colombia,2022-06-01,Net Electricity Production,Renovable,4960.1773,GWh,6,2022
Colombia,2022-06-01,Net Electricity Production,No Renovable,252.2256,GWh,6,2022
Colombia,2022-06-01,Net Electricity Production,No Renovable,227.6542,GWh,6,2022
Colombia,2022-06-01,Net Electricity Production,No Renovable,1052.7024,GWh,6,2022
Colombia,2022-06-01,Net Electricity Production,Renovable,189.3743,GWh,6,2022
Colombia,2022-06-01,Net Electricity Production,Renovable,27.2161,GWh,6,2022
Colombia,2022-06-01,Net Electricity Production,Renovable,7.2373,GWh,6,2022
Colombia,2022-05-01,Net Electricity Production,Renovable,5260.0351,GWh,5,2022
Colombia,2022-05-01,Net Electricity Production,No Renovable,253.0022,GWh,5,2022
Colombia,2022-05-01,Net Electricity Production,No Renovable,232.9971,GWh,5,2022
Colombia,2022-05-01,Net Electricity Production,No Renovable,1092.8906,GWh,5,2022
Colombia,2022-05-01,Net Electricity Production,Renovable,189.392,GWh,5,2022
Colombia,2022-05-01,Net Electricity Production,Renovable,27.0996,GWh,5,2022
Colombia,2022-05-01,Net Electricity Production,Renovable,6.1417,GWh,5,2022
Colombia,2022-04-01,Net Electricity Production,Renovable,4968.9221,GWh,4,2022
Colombia,2022-04-01,Net Electricity Production,No Renovable,281.0259,GWh,4,2022
Colombia,2022-04-01,Net Electricity Production,No Renovable,229.9824,GWh,4,2022
Colombia,2022-04-01,Net Electricity Production,No Renovable,1050.3847,GWh,4,2022
Colombia,2022-04-01,Net Electricity Production,Renovable,189.3624,GWh,4,2022
Colombia,2022-04-01,Net Electricity Production,Renovable,28.2295,GWh,4,2022
