Proyecto,Tipo,Capacidad,Departamento,Municipio,Código Departamento,Código Municipio,Fecha estimada FPO,Energía [kWh/día],Usuarios,Inversión estimada [COP],Empleos estimados,Emisiones CO2 [Ton/año],Energía [kWh/año],Emisiones CO2 [Ton/días]
Csf cartago (trina solar),Solar,99.0,Valle del cauca,Cartago,76,76147,2023-07-01,475200.0,82405,371250000000.0,689,138758.0,173448000.0,380.15890410958906
Granja solar kairos i,Solar,19.9,Norte de santander,San josé de cúcuta,54,54001,2023-06-30,95520.0,16564,74625000000.0,139,27892.0,34864800.0,76.41643835616438
Granja solar kairos ii,Solar,19.9,Norte de santander,San josé de cúcuta,54,54001,2023-06-30,95520.0,16564,74625000000.0,139,27892.0,34864800.0,76.41643835616438
Granja solar kairos iii,Solar,19.9,Norte de santander,San josé de cúcuta,54,54001,2023-06-30,95520.0,16564,74625000000.0,139,27892.0,34864800.0,76.41643835616438
Pétalo del magdalena i,Solar,9.9,Magdalena,Zona bananera,47,47980,2023-12-31,47520.0,8240,37125000000.0,69,13876.0,17344800.0,38.016438356164386
Atlantico solar 1 (baranoa),Solar,19.3,Atlántico,Baranoa,8,8078,2022-12-31,92640.0,16065,72375000000.0,134,27051.0,33813600.0,74.11232876712329
Atlantico solar 2 (polo nuevo),Solar,9.9,Atlántico,Polonuevo,8,8558,2022-12-31,47520.0,8240,37125000000.0,69,13876.0,17344800.0,38.016438356164386
Delphi helios 1 fase 2,Solar,6.1,Meta,Villavicencio,50,50001,2022-11-30,29280.0,5077,22875000000.0,42,8550.0,10687200.0,23.424657534246574
Campano (trina solar),Solar,99.9,Córdoba,Chinú,23,23182,2023-09-30,479520.0,83154,374625000000.0,695,140020.0,175024800.0,383.6164383561644
Parque solar badel,Solar,8.6,Bolívar,Arjona,13,13052,2023-12-31,41280.0,7158,32250000000.0,60,12054.0,15067200.0,33.02465753424657
Parque solar cordobita,Solar,9.9,Magdalena,Ciénaga,47,47189,2023-03-31,47520.0,8240,37125000000.0,69,13876.0,17344800.0,38.016438356164386
Brisas – yaguará – aipe,Solar,26.0,Huila,Yaguará,41,41885,2022-12-31,124800.0,21642,97500000000.0,181,36442.0,45552000.0,99.84109589041095
Del rio y magdalena (casabe - cantagallo),Solar,6.0,Bolívar,Cantagallo,13,13160,2023-12-31,28800.0,4994,22500000000.0,42,8410.0,10512000.0,23.041095890410958
Ocelote,Solar,14.0,Meta,Puerto gaitán,50,50568,2999-12-31,67200.0,11653,52500000000.0,97,19622.0,24528000.0,53.75890410958904
Melgar parte 2,Solar,5.94,Tolima,Melgar,73,73449,2022-11-30,28512.0,4944,22275000000.0,41,8326.0,10406880.0,22.81095890410959
Andalucía,Solar,9.9,Valle del cauca,Andalucía,76,76036,2023-04-06,47520.0,8240,37125000000.0,69,13876.0,17344800.0,38.016438356164386
Pétalo de córdoba ii,Solar,9.9,Córdoba,Chinú,23,23182,2023-03-01,47520.0,8240,37125000000.0,69,13876.0,17344800.0,38.016438356164386
Parque fotovoltaico sgde,Solar,9.9,Atlántico,Malambo,8,8433,2023-04-30,47520.0,8240,37125000000.0,69,13876.0,17344800.0,38.016438356164386
Parque fotovoltaico jumi,Solar,9.9,Atlántico,Galapa,8,8296,2023-04-30,47520.0,8240,37125000000.0,69,13876.0,17344800.0,38.016438356164386
Parque fotovoltaico pn1,Solar,9.9,Bolívar,Arjona,13,13052,2023-04-30,47520.0,8240,37125000000.0,69,13876.0,17344800.0,38.016438356164386
Parque fotovoltaico crli 1,Solar,9.9,Atlántico,Manatí,8,8436,2023-04-30,47520.0,8240,37125000000.0,69,13876.0,17344800.0,38.016438356164386
Parque fotovoltaico old-t,Solar,9.9,Sucre,San josé de toluviejo,70,70823,2023-04-30,47520.0,8240,37125000000.0,69,13876.0,17344800.0,38.016438356164386
Yuma parte 2,Solar,6.93,Tolima,Flandes,73,73275,2023-01-16,33264.0,5768,25987500000.0,48,9713.0,12141360.0,26.610958904109587
Flandes parte 2,Solar,13.93,Tolima,Flandes,73,73275,2023-01-16,66864.0,11595,52237500000.0,97,19524.0,24405360.0,53.49041095890411
Dulima parte 2,Solar,13.93,Tolima,Flandes,73,73275,2023-01-16,66864.0,11595,52237500000.0,97,19524.0,24405360.0,53.49041095890411
"Parque solar la victoria 1 y 2 (2x19,9) parte 2",Solar,21.89,Valle del cauca,Zarzal,76,76895,2023-04-25,105072.0,18221,82087500000.0,152,30681.0,38351280.0,84.05753424657534
Dulima parte 1,Solar,5.97,Tolima,Flandes,73,73275,2022-07-31,28656.0,4969,22387500000.0,42,8368.0,10459440.0,22.926027397260274
"Parque solar la victoria 1 y 2 (2x19,9) parte 1",Solar,17.91,Valle del cauca,Zarzal,76,76895,2022-07-31,85968.0,14908,67162500000.0,125,25103.0,31378320.0,68.77534246575343
San isidro,Solar,19.09,Cauca,Puerto tejada,19,19573,2023-07-31,91632.0,15890,71587500000.0,133,26757.0,33445680.0,73.30684931506849
Rubiales,Solar,87.0,Meta,Puerto gaitán,50,50568,2023-11-30,417600.0,72416,326250000000.0,606,121939.0,152424000.0,334.0794520547945
Chicamocha (1-3),Solar,59.7,Santander,Los santos,68,68418,2023-06-30,286560.0,49692,223875000000.0,416,83676.0,104594400.0,229.24931506849316
Puerta de oro fase 1,Solar,120.0,Cundinamarca,Guaduas,25,25320,2999-12-31,576000.0,99884,450000000000.0,835,168192.0,210240000.0,460.8
Guayepo fase i,Solar,200.0,Atlántico,Sabanalarga,8,8638,2023-05-31,960000.0,166474,750000000000.0,1392,280320.0,350400000.0,768.0
Corona girardota,Solar,3.69,Antioquia,Girardota,5,5308,2023-01-29,17712.0,3071,13837500000.0,26,5172.0,6464880.0,14.169863013698631
Cetesa suesca,Solar,4.22,Cundinamarca,Suesca,25,25772,2023-01-29,20256.0,3513,15825000000.0,29,5915.0,7393440.0,16.205479452054796
Corona sopo,Solar,4.0,Cundinamarca,Sopó,25,25758,2023-01-29,19200.0,3329,15000000000.0,28,5606.0,7008000.0,15.35890410958904
Corona madrid,Solar,4.0,Cundinamarca,Madrid,25,25430,2023-01-29,19200.0,3329,15000000000.0,28,5606.0,7008000.0,15.35890410958904
Eternit soacha,Solar,0.94,Cundinamarca,Soacha,25,25754,2023-01-29,4512.0,782,3525000000.0,7,1318.0,1646880.0,3.610958904109589
Club lagartos,Solar,0.1,Bogotá d.c.,Bogotá d.c.,11,11001,2023-01-29,480.0,83,375000000.0,1,140.0,175200.0,0.3835616438356164
Gaseosas lux,Solar,1.8,Bogotá d.c.,Bogotá d.c.,11,11001,2023-01-29,8640.0,1498,6750000000.0,13,2523.0,3153600.0,6.912328767123288
Central cervecera sesquilé,Solar,3.5,Cundinamarca,Sesquilé,25,25736,2023-01-29,16800.0,2913,13125000000.0,24,4906.0,6132000.0,13.441095890410958
