Country,Balance,Time,Product,Value,Unit,Month,Year
Colombia,Net Electricity Production,2025-02-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5139.7218,GWh,2,2025
Colombia,Total Imports,2025-02-01,Electricity,10.1237,GWh,2,2025
Colombia,Total Exports,2025-02-01,Electricity,58.4443,GWh,2,2025
Colombia,Distribution Losses,2025-02-01,Electricity,545.9325,GWh,2,2025
Colombia,Final Consumption (Calculated),2025-02-01,Electricity,6340.1508,GWh,2,2025
Colombia,Net Electricity Production,2025-02-01,Wind,14.9303,GWh,2,2025
Colombia,Net Electricity Production,2025-01-01,Electricity,7591.3759,GWh,1,2025
Colombia,Net Electricity Production,2025-01-01,Hydro,4764.6816,GWh,1,2025
Colombia,Net Electricity Production,2025-01-01,Total Combustible Fuels,2432.8012,GWh,1,2025
Colombia,Net Electricity Production,2025-01-01,"Coal, Peat and Manufactured Gases",940.0578,GWh,1,2025
Colombia,Net Electricity Production,2025-01-01,Oil and Petroleum Products,278.8603,GWh,1,2025
Colombia,Net Electricity Production,2025-01-01,Natural Gas,984.2175,GWh,1,2025
Colombia,Net Electricity Production,2025-01-01,Combustible Renewables,229.6657,GWh,1,2025
Colombia,Net Electricity Production,2025-01-01,Solar,379.5036,GWh,1,2025
Colombia,Net Electricity Production,2025-01-01,Not Specified,0,GWh,1,2025
Colombia,Net Electricity Production,2025-01-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5388.2404,GWh,1,2025
Colombia,Total Imports,2025-01-01,Electricity,0.011,GWh,1,2025
Colombia,Total Exports,2025-01-01,Electricity,207.4886,GWh,1,2025
Colombia,Distribution Losses,2025-01-01,Electricity,518.7555,GWh,1,2025
Colombia,Final Consumption (Calculated),2025-01-01,Electricity,6865.1428,GWh,1,2025
Colombia,Net Electricity Production,2025-01-01,Wind,14.3895,GWh,1,2025
Colombia,Net Electricity Production,2024-12-01,Electricity,7597.2365,GWh,12,2024
Colombia,Net Electricity Production,2024-12-01,Hydro,4139.1389,GWh,12,2024
Colombia,Net Electricity Production,2024-12-01,Total Combustible Fuels,3135.3558,GWh,12,2024
Colombia,Net Electricity Production,2024-12-01,"Coal, Peat and Manufactured Gases",1082.3086,GWh,12,2024
Colombia,Net Electricity Production,2024-12-01,Oil and Petroleum Products,291.5079,GWh,12,2024
Colombia,Net Electricity Production,2024-12-01,Natural Gas,1531.866,GWh,12,2024
Colombia,Net Electricity Production,2024-12-01,Combustible Renewables,229.6733,GWh,12,2024
Colombia,Net Electricity Production,2024-12-01,Solar,311.485,GWh,12,2024
Colombia,Net Electricity Production,2024-12-01,Not Specified,0,GWh,12,2024
Colombia,Net Electricity Production,2024-12-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4691.554,GWh,12,2024
Colombia,Total Imports,2024-12-01,Electricity,0.002,GWh,12,2024
Colombia,Total Exports,2024-12-01,Electricity,246.2716,GWh,12,2024
Colombia,Distribution Losses,2024-12-01,Electricity,512.7156,GWh,12,2024
Colombia,Final Consumption (Calculated),2024-12-01,Electricity,6838.2514,GWh,12,2024
Colombia,Net Electricity Production,2024-12-01,Wind,11.2568,GWh,12,2024
Colombia,Net Electricity Production,2024-11-01,Electricity,7175.5065,GWh,11,2024
Colombia,Net Electricity Production,2024-11-01,Hydro,4216.5231,GWh,11,2024
Colombia,Net Electricity Production,2024-11-01,Total Combustible Fuels,2676.3645,GWh,11,2024
Colombia,Net Electricity Production,2024-11-01,"Coal, Peat and Manufactured Gases",887.042,GWh,11,2024
Colombia,Net Electricity Production,2024-11-01,Oil and Petroleum Products,303.1036,GWh,11,2024
Colombia,Net Electricity Production,2024-11-01,Natural Gas,1256.5801,GWh,11,2024
Colombia,Net Electricity Production,2024-11-01,Combustible Renewables,229.6388,GWh,11,2024
Colombia,Net Electricity Production,2024-11-01,Solar,279.3362,GWh,11,2024
Colombia,Net Electricity Production,2024-11-01,Not Specified,0,GWh,11,2024
Colombia,Net Electricity Production,2024-11-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4728.7808,GWh,11,2024
Colombia,Total Imports,2024-11-01,Electricity,0.0483,GWh,11,2024
Colombia,Total Exports,2024-11-01,Electricity,134.8246,GWh,11,2024
Colombia,Distribution Losses,2024-11-01,Electricity,473.7036,GWh,11,2024
Colombia,Final Consumption (Calculated),2024-11-01,Electricity,6567.0267,GWh,11,2024
Colombia,Net Electricity Production,2024-11-01,Wind,3.2827,GWh,11,2024
