Country,Balance,Time,Product,Value,Unit,Month,Year
Colombia,Net Electricity Production,2022-09-01,Hydro,5142.3708,GWh,9,2022
Colombia,Net Electricity Production,2022-09-01,Combustible Renewables,189.4004,GWh,9,2022
Colombia,Net Electricity Production,2022-09-01,Solar,54.3858,GWh,9,2022
Colombia,Net Electricity Production,2022-09-01,Wind,2.0778,GWh,9,2022
Colombia,Net Electricity Production,2022-08-01,Hydro,5325.9442,GWh,8,2022
Colombia,Net Electricity Production,2022-08-01,Combustible Renewables,189.4234,GWh,8,2022
Colombia,Net Electricity Production,2022-08-01,Solar,49.23,GWh,8,2022
Colombia,Net Electricity Production,2022-08-01,Wind,6.405,GWh,8,2022
Colombia,Net Electricity Production,2022-07-01,Hydro,5187.1428,GWh,7,2022
Colombia,Net Electricity Production,2022-07-01,Combustible Renewables,189.3259,GWh,7,2022
Colombia,Net Electricity Production,2022-07-01,Solar,38.0352,GWh,7,2022
Colombia,Net Electricity Production,2022-07-01,Wind,8.9119,GWh,7,2022
Colombia,Net Electricity Production,2022-06-01,Hydro,4960.1773,GWh,6,2022
Colombia,Net Electricity Production,2022-06-01,Combustible Renewables,189.3743,GWh,6,2022
Colombia,Net Electricity Production,2022-06-01,Solar,27.2161,GWh,6,2022
Colombia,Net Electricity Production,2022-06-01,Wind,7.2373,GWh,6,2022
Colombia,Net Electricity Production,2022-05-01,Hydro,5260.0351,GWh,5,2022
Colombia,Net Electricity Production,2022-05-01,Combustible Renewables,189.392,GWh,5,2022
Colombia,Net Electricity Production,2022-05-01,Solar,27.0996,GWh,5,2022
Colombia,Net Electricity Production,2022-05-01,Wind,6.1417,GWh,5,2022
Colombia,Net Electricity Production,2022-04-01,Hydro,4968.9221,GWh,4,2022
Colombia,Net Electricity Production,2022-04-01,Combustible Renewables,189.3624,GWh,4,2022
Colombia,Net Electricity Production,2022-04-01,Solar,28.2295,GWh,4,2022
Colombia,Net Electricity Production,2022-04-01,Wind,6.7983,GWh,4,2022
Colombia,Net Electricity Production,2022-03-01,Hydro,5067.6348,GWh,3,2022
Colombia,Net Electricity Production,2022-03-01,Combustible Renewables,189.3423,GWh,3,2022
Colombia,Net Electricity Production,2022-03-01,Solar,30.253,GWh,3,2022
Colombia,Net Electricity Production,2022-03-01,Wind,9.5764,GWh,3,2022
Colombia,Net Electricity Production,2022-02-01,Hydro,4109.8795,GWh,2,2022
Colombia,Net Electricity Production,2022-02-01,Combustible Renewables,189.3414,GWh,2,2022
Colombia,Net Electricity Production,2022-02-01,Solar,27.0547,GWh,2,2022
Colombia,Net Electricity Production,2022-02-01,Wind,7.4621,GWh,2,2022
Colombia,Net Electricity Production,2022-01-01,Hydro,4496.8262,GWh,1,2022
Colombia,Net Electricity Production,2022-01-01,Combustible Renewables,189.4316,GWh,1,2022
Colombia,Net Electricity Production,2022-01-01,Solar,34.2781,GWh,1,2022
Colombia,Net Electricity Production,2022-01-01,Wind,7.3079,GWh,1,2022
Colombia,Net Electricity Production,2021-12-01,Hydro,4818.5864,GWh,12,2021
Colombia,Net Electricity Production,2021-12-01,Combustible Renewables,183.6932,GWh,12,2021
Colombia,Net Electricity Production,2021-12-01,Geothermal,0.0,GWh,12,2021
Colombia,Net Electricity Production,2021-12-01,Solar,38.428,GWh,12,2021
Colombia,Net Electricity Production,2021-12-01,Other Renewables,0.0,GWh,12,2021
Colombia,Net Electricity Production,2021-12-01,Wind,4.6262,GWh,12,2021
Colombia,Net Electricity Production,2021-11-01,Hydro,5328.5478,GWh,11,2021
Colombia,Net Electricity Production,2021-11-01,Combustible Renewables,183.5788,GWh,11,2021
Colombia,Net Electricity Production,2021-11-01,Geothermal,0.0,GWh,11,2021
Colombia,Net Electricity Production,2021-11-01,Solar,35.8733,GWh,11,2021
Colombia,Net Electricity Production,2021-11-01,Other Renewables,0.0,GWh,11,2021
Colombia,Net Electricity Production,2021-11-01,Wind,3.1705,GWh,11,2021
Colombia,Net Electricity Production,2021-10-01,Hydro,5580.5925,GWh,10,2021
Colombia,Net Electricity Production,2021-10-01,Combustible Renewables,183.638,GWh,10,2021
Colombia,Net Electricity Production,2021-10-01,Geothermal,0.0,GWh,10,2021
Colombia,Net Electricity Production,2021-10-01,Solar,33.5293,GWh,10,2021
Colombia,Net Electricity Production,2021-10-01,Other Renewables,0.0,GWh,10,2021
Colombia,Net Electricity Production,2021-10-01,Wind,2.6408,GWh,10,2021
Colombia,Net Electricity Production,2021-09-01,Hydro,5498.7174,GWh,9,2021
Colombia,Net Electricity Production,2021-09-01,Combustible Renewables,183.6023,GWh,9,2021
Colombia,Net Electricity Production,2021-09-01,Geothermal,0.0,GWh,9,2021
Colombia,Net Electricity Production,2021-09-01,Solar,29.5789,GWh,9,2021
Colombia,Net Electricity Production,2021-09-01,Other Renewables,0.0,GWh,9,2021
Colombia,Net Electricity Production,2021-09-01,Wind,3.8554,GWh,9,2021
Colombia,Net Electricity Production,2021-08-01,Hydro,5351.4869,GWh,8,2021
Colombia,Net Electricity Production,2021-08-01,Combustible Renewables,183.5849,GWh,8,2021
Colombia,Net Electricity Production,2021-08-01,Geothermal,0.0,GWh,8,2021
Colombia,Net Electricity Production,2021-08-01,Solar,25.6596,GWh,8,2021
Colombia,Net Electricity Production,2021-08-01,Other Renewables,0.0,GWh,8,2021
Colombia,Net Electricity Production,2021-08-01,Wind,4.4381,GWh,8,2021
Colombia,Net Electricity Production,2021-07-01,Hydro,5332.3929,GWh,7,2021
Colombia,Net Electricity Production,2021-07-01,Combustible Renewables,183.59,GWh,7,2021
Colombia,Net Electricity Production,2021-07-01,Geothermal,0.0,GWh,7,2021
Colombia,Net Electricity Production,2021-07-01,Solar,21.8151,GWh,7,2021
Colombia,Net Electricity Production,2021-07-01,Other Renewables,0.0,GWh,7,2021
Colombia,Net Electricity Production,2021-07-01,Wind,6.1194,GWh,7,2021
Colombia,Net Electricity Production,2021-06-01,Hydro,5092.7922,GWh,6,2021
Colombia,Net Electricity Production,2021-06-01,Combustible Renewables,183.5932,GWh,6,2021
Colombia,Net Electricity Production,2021-06-01,Geothermal,0.0,GWh,6,2021
Colombia,Net Electricity Production,2021-06-01,Solar,22.3516,GWh,6,2021
Colombia,Net Electricity Production,2021-06-01,Other Renewables,0.0,GWh,6,2021
Colombia,Net Electricity Production,2021-06-01,Wind,6.0067,GWh,6,2021
Colombia,Net Electricity Production,2021-05-01,Hydro,5137.0145,GWh,5,2021
Colombia,Net Electricity Production,2021-05-01,Combustible Renewables,183.6919,GWh,5,2021
Colombia,Net Electricity Production,2021-05-01,Geothermal,0.0,GWh,5,2021
Colombia,Net Electricity Production,2021-05-01,Solar,22.0532,GWh,5,2021
Colombia,Net Electricity Production,2021-05-01,Other Renewables,0.0,GWh,5,2021
Colombia,Net Electricity Production,2021-05-01,Wind,6.9922,GWh,5,2021
Colombia,Net Electricity Production,2021-04-01,Hydro,4762.4764,GWh,4,2021
Colombia,Net Electricity Production,2021-04-01,Combustible Renewables,183.6116,GWh,4,2021
Colombia,Net Electricity Production,2021-04-01,Geothermal,0.0,GWh,4,2021
Colombia,Net Electricity Production,2021-04-01,Solar,22.8164,GWh,4,2021
Colombia,Net Electricity Production,2021-04-01,Other Renewables,0.0,GWh,4,2021
Colombia,Net Electricity Production,2021-04-01,Wind,6.3398,GWh,4,2021
Colombia,Net Electricity Production,2021-03-01,Hydro,4825.0188,GWh,3,2021
Colombia,Net Electricity Production,2021-03-01,Combustible Renewables,183.6168,GWh,3,2021
Colombia,Net Electricity Production,2021-03-01,Geothermal,0.0,GWh,3,2021
Colombia,Net Electricity Production,2021-03-01,Solar,24.0222,GWh,3,2021
Colombia,Net Electricity Production,2021-03-01,Other Renewables,0.0,GWh,3,2021
